subid,balanced,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,response,Mood,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,BRCS,LSAS,LSAS_FEAR,LSAS_AVOIDANCE,CESD,UCLA_loneliness,BISBAS_BIS,BISBAS_BASRR,BISBAS_FS,BISBAS_BASD,RSE,STAI,UM_AFFILIATION,UM_INTIMACY,COVIDexperience_score,COVIDimpacts_score,COVIDthreat_score,COVIDpsychstress_score,MSSSF
549ea92efdf99b4ffa5fa208,0,36,0.02,0.05,1,0.02,1.50999999,1,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,37,0.05,0.03,1,0.05,2.940999985,1,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,38,0.05,0.02,1,0.05,2.202000141,2,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,39,0.01,0.02,1,0.01,1.125999928,2,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,40,0.02,0.04,0,0.04,1.785000086,2,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,41,0.05,0.03,1,0.05,5.687000036,1,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,42,0.03,0.01,1,0.03,3.196000099,1,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,43,0.01,0.04,0,0.04,1.708999872,1,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,44,0.05,0.01,1,0.05,4.174999952,1,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,45,0.02,0.03,0,0.03,2.145999908,2,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
