,participant,balanced,avg_spent_social,avg_spent_nonsocial,total_spent_social,total_spent_nonsocial,prop_social,prop_nonsocial,moresocial,prop_moresocial,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,BRCS
20,5c510d1310223b00012fa23e,0,0.028684211,0.025,1.09,0.3,0.76,0.24,1,1,22,1.25,60,18,20,12,10,16.0
21,5c523d16102de10001022098,1,0.029210526,0.031666667,1.11,0.38,0.76,0.24,0,1,15,6.333333333,69,23,20,13,13,17.0
22,5cb33d40f173240019513957,0,0.022592593,0.02,0.61,0.46,0.54,0.46,1,1,20,3.0,75,22,19,18,16,15.0
23,5cc166b25899270017dd60e2,0,0.032173913,0.028888889,0.74,0.78,0.46,0.54,1,0,19,2.5,72,22,23,7,20,17.0
24,5cfecc1e96681500168a1799,0,0.038695652,0.036666667,0.89,0.99,0.46,0.54,1,0,23,1.333333333,77,20,20,19,18,16.0
25,5d14cea059c33d0001f19bb3,1,0.026,0.029487179,0.26,1.15,0.204081633,0.795918367,0,0,25,6.5,67,12,22,17,16,12.0
26,5d17ce93ac37cd0019535088,1,0.029545455,0.030740741,0.65,0.83,0.448979592,0.551020408,0,0,26,5.25,68,19,19,16,14,17.0
27,5d19281012e152001920227f,1,0.021481481,0.022608696,0.58,0.52,0.54,0.46,0,1,13,6.0,79,20,25,9,25,20.0
28,5d204134abea8100173fa8a4,1,0.027857143,0.029166667,0.39,1.05,0.28,0.72,0,0,23,3.833333333,55,12,17,9,17,9.0
29,5d305152b2cfe00019231a2a,0,0.029230769,0.025833333,0.76,0.62,0.52,0.48,1,1,22,2.416666667,61,14,20,10,17,15.0
30,5d43f181e2051e0001a24ba7,1,0.033823529,0.035625,1.15,0.57,0.68,0.32,0,1,11,6.5,67,16,18,13,20,15.0
31,5d520a2a08c3b00019384072,1,0.030714286,0.02952381,0.86,0.62,0.571428571,0.428571429,1,1,26,4.083333333,69,17,24,14,14,12.0
32,5d5f07cdca10e90016bc0103,1,0.025517241,0.028095238,0.74,0.59,0.58,0.42,0,1,7,7.0,74,18,27,6,23,16.0
33,5d6394518df2870001a74b42,1,0.024090909,0.026428571,0.53,0.74,0.44,0.56,0,0,20,7.0,96,22,26,24,24,12.0
34,5d64b5035c4d6c0001f2ff80,1,0.030294118,0.031875,1.03,0.51,0.68,0.32,0,1,29,3.0,57,15,13,13,16,12.0
35,5d96eeed1998fb00177f6b71,1,0.04047619,0.036206897,0.85,1.05,0.42,0.58,1,0,27,3.416666667,55,17,14,11,13,14.0
36,5da23c68cf775d001724d361,0,0.016956522,0.019259259,0.39,0.52,0.46,0.54,0,0,21,5.666666667,74,22,21,16,15,14.0
37,5dc368ce880a2927e264dbec,1,0.029473684,0.032258065,0.56,1.0,0.38,0.62,0,0,26,4.416666667,73,19,23,16,15,16.0
