participant,sum_spent,S_NS,avg_spent,prop,AQ,MSPSS,IRI_FS,IRI_EC,IRI_PD,IRI_PT,moresocial,prop_moresocial
56259489ed6e5a0005c80fde,0.21,Social,0.02625,0.16,37,6.666666667,26,20,14,15,0,0
58060d08b869700001d70b8c,0.85,Social,0.030357143,0.56,22,4.833333333,17,21,13,24,1,1
5914b7b50a4b9d0001add64f,0.48,Social,0.020869565,0.46,24,3.333333333,10,9,9,11,0,0
5a78e410ae9a0b0001a97274,0.76,Social,0.036190476,0.42,20,6,20,23,6,22,0,0
5adbc051f6b58c0001fa3bbe,0.28,Social,0.031111111,0.18,22,2.583333333,20,23,15,22,1,0
5af529ca222e4d0001878444,0.68,Social,0.024285714,0.56,16,4.916666667,17,16,21,21,1,1
5b48f2d0ff7497000125165e,0.74,Social,0.030833333,0.48,23,6,15,20,16,15,1,0
5bb0c112a1c73d0001b9ce9e,1.02,Social,0.031875,0.64,23,6.333333333,16,24,17,20,1,1
5beaed3f0af61d0001968d9a,0.44,Social,0.033846154,0.265306122,30,3.916666667,20,18,14,21,1,0
5bfadc1846911f0001d7d1eb,0.53,Social,0.035333333,0.3,34,1.416666667,25,22,18,17,1,0
5c1a8a5e2a85450001a878cd,0.63,Social,0.023333333,0.54,26,3.083333333,12,16,16,15,1,1
5c3cd553c21f060001c3e571,0.39,Social,0.021666667,0.36,20,5.25,19,20,12,16,0,0
5c4e7b34620ba700010c5dc6,0.53,Social,0.023043478,0.46,30,3.666666667,11,13,14,9,1,0
5c523d16102de10001022098,1.11,Social,0.029210526,0.76,15,6.333333333,23,20,13,13,0,1
5d14cea059c33d0001f19bb3,0.26,Social,0.026,0.204081633,25,6.5,12,22,17,16,0,0
5d17ce93ac37cd0019535088,0.65,Social,0.029545455,0.448979592,26,5.25,19,19,16,14,0,0
5d19281012e152001920227f,0.58,Social,0.021481481,0.54,13,6,20,25,9,25,0,1
5d204134abea8100173fa8a4,0.39,Social,0.027857143,0.28,23,3.833333333,12,17,9,17,0,0
5d43f181e2051e0001a24ba7,1.15,Social,0.033823529,0.68,11,6.5,16,18,13,20,0,1
5d520a2a08c3b00019384072,0.86,Social,0.030714286,0.571428571,26,4.083333333,17,24,14,14,1,1
5d5f07cdca10e90016bc0103,0.74,Social,0.025517241,0.58,7,7,18,27,6,23,0,1
5d6394518df2870001a74b42,0.53,Social,0.024090909,0.44,20,7,22,26,24,24,0,0
5d64b5035c4d6c0001f2ff80,1.03,Social,0.030294118,0.68,29,3,15,13,13,16,0,1
5d96eeed1998fb00177f6b71,0.85,Social,0.04047619,0.42,27,3.416666667,17,14,11,13,1,0
5dc368ce880a2927e264dbec,0.56,Social,0.029473684,0.38,26,4.416666667,19,23,16,15,0,0
5dc592c6aa431440aa755d5b,0.85,Social,0.027419355,0.632653061,22,3.833333333,26,25,15,23,0,1
5dcefcd0307b8d05031d7264,0.94,Social,0.0376,0.5,16,4.083333333,21,28,0,28,0,0
5dd5db1ded7ea4574c7bc996,0.63,Social,0.03,0.42,20,4.083333333,13,17,10,11,1,0
5de7ccc24b7cf973d7b05bfb,1.08,Social,0.03,0.72,4,6,17,23,2,23,1,1
5dfed836265c80b4fc7ae55e,0.66,Social,0.0275,0.489795918,20,5.25,9,19,17,14,0,0
5e07e9301d6b46148c904a0e,0.35,Social,0.025,0.28,27,1.25,14,2,3,9,0,0
5e0f443e8205266652153f5e,0.4,Social,0.02,0.4,28,3.5,22,17,28,9,0,0
5e426dbfbc27ad10220a4cb3,1,Social,0.034482759,0.58,11,4.75,13,21,7,21,0,1
5e69be2cd02ab2027bff5108,0.58,Social,0.025217391,0.46,11,6.75,9,18,11,26,1,0
5e70d4869ffb1404cb1f5070,0.66,Social,0.024444444,0.54,15,6,24,24,15,21,1,1
5e829f3ee6548e9c39cb00aa,0.87,Social,0.03625,0.48,15,4,14,14,12,14,0,0
5e9b443223881d04be740737,0.47,Social,0.024736842,0.38,34,5.833333333,11,24,25,23,1,0
5e9f55237c0db50bb0a02621,0.55,Social,0.023913043,0.46,14,4.333333333,16,22,14,21,0,0
5ebb96b6cd673a0008ace9ce,0.25,Social,0.025,0.2,16,3.25,16,19,22,19,0,0
5ebcada11ac87310b16fe61b,0.56,Social,0.020740741,0.54,22,1,13,12,20,3,0,1
5ec967b73fdeb70aad0322d8,0.54,Social,0.023478261,0.46,27,4.25,19,16,6,9,1,0
5ecd4acdb218ec085c6eefe6,0.96,Social,0.035555556,0.54,14,5.833333333,21,22,3,25,0,1
5ed543442db0060a955d12e1,1,Social,0.026315789,0.76,23,2.666666667,25,26,24,21,1,1
5ee150a384b8a1164fef6273,0.73,Social,0.026071429,0.56,30,5.25,17,18,10,23,1,1
5efc9ea8f8e7950584b12e87,1,Social,0.032258065,0.62,19,5.75,11,12,3,9,1,1
5f07b62e0e3ac43ea9d490c6,1,Social,0.037037037,0.54,29,2,27,26,24,24,0,1
