participant,sum_spent,S_NS,avg_spent,prop,AQ,MSPSS,IRI_FS,IRI_EC,IRI_PD,IRI_PT,moresocial,prop_moresocial
5f0bcb67acb8844f8a226f2b,0.45,Social,0.026470588,0.346938776,34,4.166666667,23,24,15,12,0,0
5f29109240b4f4000bfd5a06,0.74,Social,0.030833333,0.48,23,4,14,14,14,14,0,0
5f2f566ddaea2a3417b75920,0.49,Social,0.021304348,0.46,32,5.25,5,27,25,12,0,0
5f3964ca4539e00bd5ce47fb,0.69,Social,0.02875,0.48,28,5.333333333,18,20,21,12,1,0
5f44c445cfb0a801244f652f,0.86,Social,0.037391304,0.46,11,6.583333333,23,17,12,22,1,0
5f4c4b277200c9868db9d43f,0.35,Social,0.029166667,0.24,25,4.833333333,18,23,12,15,0,0
5f4c500d2a325c74a03597c4,0.76,Social,0.031666667,0.48,27,4.333333333,14,18,18,17,1,0
5f4d3cb5fdda0b2c403fb801,0.63,Social,0.035,0.36,21,4.083333333,22,20,19,17,1,0
5f504fd2cc049d1cbf29c40d,0.89,Social,0.037083333,0.48,13,7,28,28,0,28,0,0
5f62bff03a4958215b85d8bf,0.64,Social,0.029090909,0.44,14,4.083333333,19,22,9,22,0,0
5f793609f8089e53266336f5,1.3,Social,0.030232558,0.86,19,6.5,18,20,13,25,1,1
5f888a84d0200d03067e17ed,1.3,Social,0.031707317,0.82,15,7,24,28,9,28,0,1
5f8c70c9c8e71c0b49e49797,0.42,Social,0.028,0.3,22,5.75,11,16,13,13,0,0
5f8f0ae15fe9e60fbbbaead9,0.8,Social,0.033333333,0.48,12,4.833333333,17,17,13,22,1,0
5f90581950d8520e8c7d3890,1.35,Social,0.03,0.918367347,14,7,21,28,4,28,0,1
5f94977cf830e82e361b9de1,0.48,Social,0.03,0.32,18,4.333333333,15,24,10,17,0,0
5f95a44920f542417f4263cb,0.49,Social,0.025789474,0.38,31,3.916666667,25,8,12,6,0,0
5f963718a844b719781e9e85,0.4,Social,0.022222222,0.36,30,4.416666667,14,23,8,14,0,0
5fb2cbcafa4c009546a700e2,0.57,Social,0.021923077,0.52,11,6,22,20,7,21,0,1
5fc340bd24fdca1666b95a7a,0.71,Social,0.030869565,0.46,30,3,21,21,14,20,1,0
5fc6942053f904134079ad42,0.86,Social,0.031851852,0.586956522,20,4.666666667,24,27,14,19,1,1
5fcd879848ac3ace45ea7afe,0.25,Social,0.020833333,0.24,21,1,18,13,7,11,0,0
5fdc9c593986cc1cfdc5635b,0.49,Social,0.032666667,0.3,22,3.75,19,20,8,19,1,0
6007776684975127676717c4,0.46,Social,0.032857143,0.28,16,4.416666667,12,16,12,17,1,0
600e373ea7a2226d059a4a98,0.98,Social,0.036296296,0.54,12,6.833333333,19,7,3,25,0,1
600e661d49a93a6ec48ebb45,0,Social,0,0,41,1.583333333,15,13,14,13,0,0
60147e2f651575230ac1b072,0.46,Social,0.030666667,0.333333333,32,3.083333333,9,9,5,14,1,0
60255901704fd208ecdcf32b,0.5,Social,0.020833333,0.48,23,4.416666667,14,24,19,16,0,0
603440a22603172572f9c1b2,0.87,Social,0.028064516,0.62,28,4.666666667,20,16,10,13,0,1
6039643eab9d3741232583d0,0.86,Social,0.025294118,0.68,11,7,26,26,8,19,1,1
60777f3aa41a5f7832560cb8,1.01,Social,0.029705882,0.68,15,5.916666667,20,23,7,20,1,1
6085bb66296b0a411198d8fd,0.63,Social,0.0225,0.56,20,6,5,18,4,24,1,1
6091ab55ea2e97910519f8e7,0.91,Social,0.037916667,0.48,29,1,24,17,13,22,1,0
60b68b39a12ec1444b254396,0.58,Social,0.026363636,0.44,20,5.75,15,15,9,19,1,0
60b7b7db631266ca06388068,1.18,Social,0.028095238,0.84,14,5.833333333,18,26,16,23,1,1
60bd4bfc88b646e72d772977,0.53,Social,0.027894737,0.38,25,7,9,17,25,11,1,0
60d1af27fbac62dfb9687c96,0.97,Social,0.026944444,0.72,26,5.333333333,17,20,15,18,0,1
60da4f9aa1ced7efeecca18a,0.51,Social,0.022173913,0.46,31,5,14,11,8,13,0,0
60daada33618b36687776207,1.03,Social,0.038148148,0.54,18,4.333333333,5,20,8,17,1,1
60db64e309afd89c90c7fcd8,0.91,Social,0.030333333,0.638297872,15,5.25,14,23,3,23,1,1
60e85ae17458a7cea972d355,1.07,Social,0.031470588,0.68,22,5.666666667,23,24,17,23,1,1
60f78540800263ad2ec44139,0.97,Social,0.0303125,0.64,25,1.916666667,14,11,10,7,0,1
60fc6bdffe3e6e8caf924670,0.49,Social,0.022272727,0.44,17,7,24,24,24,20,0,0
60fce8cc5025f6e4d0d6baae,0.98,Social,0.031612903,0.659574468,18,6.5,18,21,14,25,1,1
60fd12b459a8dcda3d177cdd,0.8,Social,0.032,0.510204082,25,6,28,16,12,8,1,1
60fd55f559e7795b518f7438,1.21,Social,0.029512195,0.82,21,6.166666667,13,22,16,15,1,1
60fd60e7587e4f2e860338b4,1.21,Social,0.031025641,0.78,14,6.5,7,25,6,27,0,1
60fd7f782b0c5f0b6503302a,1.28,Social,0.03047619,0.84,21,3.166666667,5,23,15,19,0,1
60fd89617258b322c92fdd03,0.79,Social,0.030384615,0.52,27,5.916666667,24,25,16,12,1,1
60fd91a262d0675da55aae6c,0.89,Social,0.030689655,0.58,23,6.666666667,12,16,9,4,0,1
60fd9a010279e0f7e338571a,0.81,Social,0.031153846,0.52,15,5.916666667,14,23,5,20,1,1
60fdae513bfebe2fe0122138,0.7,Social,0.030434783,0.469387755,24,5.25,24,24,18,28,1,0
60fdce10226d20ddc8990f04,0.47,Social,0.022380952,0.42,20,5.333333333,20,22,21,19,0,0
60fe1299611da2fff6f047f4,0.85,Social,0.030357143,0.56,18,4.666666667,15,20,12,18,1,1
60fe2fb42ec6d443757a92fc,0.94,Social,0.033571429,0.56,27,7,18,26,12,22,1,1
60fe38317cb19f2601f75e05,0.69,Social,0.0276,0.5,32,4.416666667,26,22,21,15,0,0
60fe91b1b413bc0938bd4628,1.05,Social,0.029166667,0.8,23,5.25,21,21,13,13,0,1
60fed38a8adb46e44e0869a5,0.65,Social,0.024074074,0.54,21,5,27,26,13,16,0,1
60ff0c8a83c4bf36bf52df28,0.79,Social,0.0316,0.5,19,5.583333333,11,17,12,12,0,0
60ff2035293107014b9770e8,0.45,Social,0.032142857,0.28,32,5.333333333,17,20,8,14,1,0
60ff32677943528c59d4cfb3,0.88,Social,0.033846154,0.52,21,4.916666667,19,22,20,17,0,1
60ff9a9aad04eb7ef6cae70a,0.45,Social,0.025,0.36,25,3,19,12,14,11,0,0
610040d9d3e1fbd63a3f41e5,0.73,Social,0.0292,0.5,20,6.166666667,14,19,23,22,1,0
61008d2fef3c74069a9fbbfe,0.66,Social,0.0264,0.5,15,4.916666667,20,24,16,15,0,0
6100902ab1e208bdb18bf688,0.59,Social,0.0295,0.4,27,7,28,28,15,10,1,0
61009741973fdb40344de5e7,1,Social,0.026315789,0.76,13,6,17,22,12,18,0,1
6100b292b7fc7f30ec9132dc,1,Social,0.03030303,0.66,23,6.166666667,10,21,13,24,1,1
6100e030b5679c9288e9d10d,0.76,Social,0.029230769,0.52,23,5.333333333,28,25,8,16,0,1
6101667971d68405d105698a,0.56,Social,0.025454545,0.44,24,4.416666667,25,18,14,19,1,0
610175c3210af976134ecd16,0.98,Social,0.033793103,0.58,17,6.083333333,12,15,8,13,1,1
61023e0830e893bec6bd8f3c,0.9,Social,0.029032258,0.62,15,6.916666667,19,24,24,20,1,1
6102c8ad26a015adcd8aaac4,0.5,Social,0.02,0.5,20,5.583333333,25,26,21,17,0,0
610321b49114d026a41efd28,0.64,Social,0.032,0.4,22,5,21,21,16,16,0,0
61032274bad76a096a09f0b0,0.43,Social,0.030714286,0.28,28,4.25,26,14,14,21,1,0
6103fa5faa24894dcd2cda34,0.16,Social,0.04,0.081632653,24,4.75,12,23,14,17,1,0
610421096c1af729ade5aac1,0.88,Social,0.026666667,0.66,29,5.416666667,19,19,14,16,1,1
6104a21eb93f2042e3d2a2bd,0.76,Social,0.034545455,0.44,12,6.583333333,20,21,12,20,0,0
6106ec0cb4f0a8adb16d546c,0.69,Social,0.0276,0.531914894,25,5.083333333,19,21,15,18,0,1
6106f75cd90cc4f28f973353,0.56,Social,0.0224,0.5,23,3.583333333,25,20,22,15,0,0
61071f0d29d762fe91a174f1,0.92,Social,0.02875,0.64,10,6.333333333,21,24,12,15,1,1
610808ab1708833b02eb8a57,0.6,Social,0.035294118,0.34,24,6.25,28,25,18,16,1,0
61083f623522116ea15fdc05,0.94,Social,0.030322581,0.62,10,5.75,22,9,17,11,0,1
6108455c93f0ee967a7335d1,0.94,Social,0.032413793,0.58,14,4.5,24,26,18,22,1,1
610854af9b70aacc11550cde,0.52,Social,0.028888889,0.36,21,5.083333333,21,21,10,20,0,0
61087e4fc006ee7d6be38641,0.51,Social,0.0255,0.408163265,33,4.25,16,19,19,18,1,0
61088cda72a1106216fa4858,0.67,Social,0.024814815,0.54,25,6.583333333,12,15,9,9,1,1
610891b03a1f80a25b7ddb82,0.66,Social,0.023571429,0.571428571,25,4.833333333,13,16,16,19,0,1
610898813e48dc2864965122,0.86,Social,0.031851852,0.54,20,2.416666667,14,23,9,19,0,1
61089ac8867ae303ec5acda5,0.75,Social,0.027777778,0.54,9,6.083333333,22,21,15,13,1,1
6108d6efa698e3dbe3b313d3,0.51,Social,0.023181818,0.448979592,18,5.916666667,16,22,5,17,0,0
6108f32a34565a2e8ef2925b,0.1,Social,0.033333333,0.06,21,2.5,17,26,14,26,1,0
610934fd924a7b98497b2108,1.13,Social,0.0353125,0.64,16,6.166666667,28,18,10,18,1,1
610999f68d373b548447abfe,0.88,Social,0.032592593,0.54,23,5.416666667,19,21,11,23,1,1
6109c9dd829e3b0e3a87b8e8,0.67,Social,0.031904762,0.42,21,6.916666667,16,19,14,18,1,0
6109d72bcd6919f7b64afbe3,0.85,Social,0.028333333,0.6,19,5.166666667,17,27,10,16,0,1
610a06e4613ff666139fd6d9,0.99,Social,0.028285714,0.7,26,4.166666667,16,15,12,12,1,1
610c59ee34cc312d7ca55e45,1.15,Social,0.031081081,0.74,16,6.166666667,10,19,9,19,1,1
610cd5f2b38b2d1bffe55477,0.81,Social,0.03,0.54,18,4.416666667,8,20,5,21,0,1
610d3d786149dbd00d635e26,1.02,Social,0.037777778,0.54,22,5.5,21,17,18,17,1,1
610dd86540919edb725d1f3f,0.84,Social,0.027096774,0.62,16,4.583333333,13,13,11,22,1,1
611020f1c36092435314ab6c,1.11,Social,0.035806452,0.62,13,6.666666667,8,24,7,22,0,1
61110e69c5c85f3be8c8ebb4,0.51,Social,0.023181818,0.44,20,7,22,20,15,19,1,0
61111442bb1b255927718949,0.66,Social,0.024444444,0.54,25,5.166666667,15,18,11,14,1,1
6111303587fe414ecadd44fb,0.52,Social,0.026,0.4,32,5.666666667,19,18,19,27,0,0
61113d87dfbc47dff8cca57b,0.98,Social,0.031612903,0.62,20,4.75,16,26,7,21,1,1
61113effc33961d5c253618a,0.85,Social,0.0265625,0.64,20,5.666666667,22,24,17,16,1,1
6111646d1922d97d81f4f9c1,1.1,Social,0.034375,0.64,10,7,28,26,12,25,1,1
6111852fd2fdb6fa7cb78ce6,1,Social,0.03030303,0.66,13,6.583333333,23,27,16,18,0,1
611188e5b3c601c90fc9a4f6,1.22,Social,0.031282051,0.78,12,6.583333333,13,20,24,14,0,1
6111c012b5f6316967f3c859,0.44,Social,0.02,0.44,32,3.583333333,18,12,23,6,0,0
61125f065722f53a3d7806f4,0.56,Social,0.029473684,0.38,17,4.5,24,19,9,25,1,0
611267d44fb8536ce68fe464,0.7,Social,0.030434783,0.46,24,7,20,25,23,19,1,0
611292e82906a9ff09cdf126,1.1,Social,0.028947368,0.76,16,6.666666667,17,18,12,13,0,1
611325c23a34bedb5feed16b,0.88,Social,0.033846154,0.52,24,6,14,18,16,16,1,1
6113ef42af7454532d9efcce,0.53,Social,0.023043478,0.46,13,6.333333333,18,26,11,24,0,0
611436cc1510765b6b76f89c,0.59,Social,0.022692308,0.52,26,4,14,14,14,14,1,1
6114f601f6b1fb77d261f013,0.18,Social,0.0225,0.163265306,44,6,1,6,0,12,0,0
611688156f6d22853511ffb3,0.47,Social,0.020434783,0.46,22,5.916666667,15,13,10,14,0,0
6116d4aea499813f9c7dc432,1.3,Social,0.031707317,0.82,9,6.666666667,10,21,10,20,0,1
6116e9a77c28cb1dd003f256,0.94,Social,0.027647059,0.68,6,7,12,18,13,17,1,1
6117efedb574017076d5b499,0.47,Social,0.036153846,0.26,21,5.333333333,17,16,15,16,1,0
611ab91a00baa062f55b86d8,0.87,Social,0.028064516,0.62,7,7,17,25,14,25,1,1
611c1cf68a3a6fc487b01d82,0.27,Social,0.027,0.2,27,1,28,25,17,24,0,0
611e7f2c96e750505914a246,0.77,Social,0.033478261,0.46,17,6.916666667,10,18,13,14,0,0
6123c3d352c6064d20616bc5,0.88,Social,0.028387097,0.62,19,6.583333333,16,26,18,11,1,1
61254fba095b9df425e816ea,0.81,Social,0.036818182,0.458333333,26,5,21,24,16,23,1,0
6126068c41dbfc8b499a6923,0.85,Social,0.035416667,0.48,19,5.666666667,17,18,10,18,1,0
612bfa26437162073ed2077b,0.89,Social,0.031785714,0.56,26,6.083333333,21,26,17,24,0,1
6133ec0528678bc23c64b821,0.53,Social,0.023043478,0.46,36,5.5,14,13,11,13,0,0
613e93d93add1d7a7e84b529,0.91,Social,0.037916667,0.48,24,6.5,18,19,18,19,1,0
614773762a1287ea43900965,0.5,Social,0.02173913,0.46,22,6.25,16,27,14,22,0,0
614addc530438fd6db61d05f,1.04,Social,0.028108108,0.74,28,6.25,28,25,20,24,0,1
614d1ca80edfff48d8fd1bab,0.34,Social,0.034,0.2,15,4.666666667,10,17,7,22,1,0
614da71cf75687a1f3d86fed,0.9,Social,0.0375,0.48,19,5.833333333,17,16,17,17,0,0
614f39f10ed069cb9fdd8bbc,0.7,Social,0.035,0.408163265,26,2.5,26,20,7,17,1,0
614fac5b9bd7d03e410b6005,0.72,Social,0.032727273,0.44,26,5.5,24,25,13,26,1,0
614fcc0d3a96d3cb0f80632b,1.09,Social,0.032058824,0.68,25,4.583333333,10,8,14,8,1,1
6150c9597b5bb588dfd106f9,0.92,Social,0.02875,0.64,11,7,14,14,8,13,1,1
61552af1eebae76e5666aba0,0.76,Social,0.026206897,0.591836735,17,5.083333333,17,21,15,12,0,1
615630f6686c2ea1a0766e23,0.86,Social,0.027741935,0.62,15,5.583333333,26,25,13,16,1,1
615bbe1b45c3c2e904778bce,0.27,Social,0.019285714,0.28,31,1.916666667,20,17,15,8,0,0
615dbf4d53391282dcaaa772,0.61,Social,0.0305,0.4,17,4.916666667,21,21,5,18,1,0
61613d22aaa3703ab8cf95e7,0.74,Social,0.033636364,0.44,36,7,24,21,1,17,0,0
61644b17ec9f97f7485d5624,0.98,Social,0.028823529,0.68,14,5.416666667,18,24,12,19,0,1
61675b4c7b3c9e4cc2dc063f,0.8,Social,0.038095238,0.42,31,5.666666667,18,23,11,13,1,0
6168b61ad8c0d63b37a92109,0.55,Social,0.022,0.5,24,4.25,8,11,8,10,1,0
616ddd8fb030bba466234e7a,0.98,Social,0.031612903,0.62,28,4.666666667,16,21,17,21,1,1
616df800d4ab205d3b77c218,0.62,Social,0.031,0.4,19,5.666666667,26,23,12,12,1,0
wtp200,0.52,Social,0.030588235,0.34,34,5,24,28,8,27,1,0
wtp201,0.63,Social,0.02625,0.48,24,6,14,18,10,20,0,0
wtp202,0.92,Social,0.029677419,0.62,30,5.916666667,23,17,15,14,0,1
wtp203,0.75,Social,0.026785714,0.56,21,7,8,18,7,20,1,1
wtp204,0.8,Social,0.026666667,0.6,14,5.583333333,17,22,6,23,0,1
wtp205,0.86,Social,0.028666667,0.6,29,4.666666667,28,23,19,13,1,1
wtp207,0.38,Social,0.029230769,0.26,30,4.416666667,18,21,27,17,0,0
wtp208,1.06,Social,0.027894737,0.775510204,16,4.916666667,22,18,8,24,1,1
wtp209,0.81,Social,0.027,0.6,26,5.666666667,5,8,22,18,0,1
wtp210,0.58,Social,0.025217391,0.46,19,5.583333333,27,19,5,24,0,0
wtp211,1.2,Social,0.031578947,0.76,10,5.25,19,15,8,17,0,1
wtp212,1.09,Social,0.031142857,0.7,25,5.583333333,14,11,22,14,1,1
wtp213,0.71,Social,0.029583333,0.48,31,5.833333333,21,23,15,17,1,0
wtp214,0.99,Social,0.0275,0.734693878,21,5.416666667,25,22,14,24,1,1
wtp215,0.53,Social,0.024090909,0.47826087,35,6.25,16,23,28,20,0,0
56259489ed6e5a0005c80fde,1.2,Non-social,0.028571429,0.84,37,6.666666667,26,20,14,15,0,0
58060d08b869700001d70b8c,0.57,Non-social,0.025909091,0.44,22,4.833333333,17,21,13,24,1,1
5914b7b50a4b9d0001add64f,0.62,Non-social,0.022962963,0.54,24,3.333333333,10,9,9,11,0,0
5a78e410ae9a0b0001a97274,1.06,Non-social,0.036551724,0.58,20,6,20,23,6,22,0,0
5adbc051f6b58c0001fa3bbe,1.2,Non-social,0.029268293,0.82,22,2.583333333,20,23,15,22,1,0
5af529ca222e4d0001878444,0.53,Non-social,0.024090909,0.44,16,4.916666667,17,16,21,21,1,1
5b48f2d0ff7497000125165e,0.75,Non-social,0.028846154,0.52,23,6,15,20,16,15,1,0
5bb0c112a1c73d0001b9ce9e,0.54,Non-social,0.03,0.36,23,6.333333333,16,24,17,20,1,1
5beaed3f0af61d0001968d9a,1.08,Non-social,0.03,0.734693878,30,3.916666667,20,18,14,21,1,0
5bfadc1846911f0001d7d1eb,1.12,Non-social,0.032,0.7,34,1.416666667,25,22,18,17,1,0
5c1a8a5e2a85450001a878cd,0.49,Non-social,0.021304348,0.46,26,3.083333333,12,16,16,15,1,1
5c3cd553c21f060001c3e571,0.78,Non-social,0.024375,0.64,20,5.25,19,20,12,16,0,0
5c4e7b34620ba700010c5dc6,0.59,Non-social,0.021851852,0.54,30,3.666666667,11,13,14,9,1,0
5c523d16102de10001022098,0.38,Non-social,0.031666667,0.24,15,6.333333333,23,20,13,13,0,1
5d14cea059c33d0001f19bb3,1.15,Non-social,0.029487179,0.795918367,25,6.5,12,22,17,16,0,0
5d17ce93ac37cd0019535088,0.83,Non-social,0.030740741,0.551020408,26,5.25,19,19,16,14,0,0
5d19281012e152001920227f,0.52,Non-social,0.022608696,0.46,13,6,20,25,9,25,0,1
5d204134abea8100173fa8a4,1.05,Non-social,0.029166667,0.72,23,3.833333333,12,17,9,17,0,0
5d43f181e2051e0001a24ba7,0.57,Non-social,0.035625,0.32,11,6.5,16,18,13,20,0,1
5d520a2a08c3b00019384072,0.62,Non-social,0.02952381,0.428571429,26,4.083333333,17,24,14,14,1,1
5d5f07cdca10e90016bc0103,0.59,Non-social,0.028095238,0.42,7,7,18,27,6,23,0,1
5d6394518df2870001a74b42,0.74,Non-social,0.026428571,0.56,20,7,22,26,24,24,0,0
5d64b5035c4d6c0001f2ff80,0.51,Non-social,0.031875,0.32,29,3,15,13,13,16,0,1
5d96eeed1998fb00177f6b71,1.05,Non-social,0.036206897,0.58,27,3.416666667,17,14,11,13,1,0
5dc368ce880a2927e264dbec,1,Non-social,0.032258065,0.62,26,4.416666667,19,23,16,15,0,0
5dc592c6aa431440aa755d5b,0.51,Non-social,0.028333333,0.367346939,22,3.833333333,26,25,15,23,0,1
5dcefcd0307b8d05031d7264,0.96,Non-social,0.0384,0.5,16,4.083333333,21,28,0,28,0,0
5dd5db1ded7ea4574c7bc996,0.8,Non-social,0.027586207,0.58,20,4.083333333,13,17,10,11,1,0
5de7ccc24b7cf973d7b05bfb,0.42,Non-social,0.03,0.28,4,6,17,23,2,23,1,1
5dfed836265c80b4fc7ae55e,0.82,Non-social,0.0328,0.510204082,20,5.25,9,19,17,14,0,0
5e07e9301d6b46148c904a0e,0.94,Non-social,0.026111111,0.72,27,1.25,14,2,3,9,0,0
5e0f443e8205266652153f5e,0.7,Non-social,0.023333333,0.6,28,3.5,22,17,28,9,0,0
5e426dbfbc27ad10220a4cb3,0.8,Non-social,0.038095238,0.42,11,4.75,13,21,7,21,0,1
5e69be2cd02ab2027bff5108,0.57,Non-social,0.021111111,0.54,11,6.75,9,18,11,26,1,0
5e70d4869ffb1404cb1f5070,0.51,Non-social,0.022173913,0.46,15,6,24,24,15,21,1,1
5e829f3ee6548e9c39cb00aa,0.99,Non-social,0.038076923,0.52,15,4,14,14,12,14,0,0
5e9b443223881d04be740737,0.76,Non-social,0.024516129,0.62,34,5.833333333,11,24,25,23,1,0
5e9f55237c0db50bb0a02621,0.69,Non-social,0.025555556,0.54,14,4.333333333,16,22,14,21,0,0
5ebb96b6cd673a0008ace9ce,1.11,Non-social,0.02775,0.8,16,3.25,16,19,22,19,0,0
5ebcada11ac87310b16fe61b,0.54,Non-social,0.023478261,0.46,22,1,13,12,20,3,0,1
5ec967b73fdeb70aad0322d8,0.56,Non-social,0.020740741,0.54,27,4.25,19,16,6,9,1,0
5ecd4acdb218ec085c6eefe6,0.87,Non-social,0.037826087,0.46,14,5.833333333,21,22,3,25,0,1
5ed543442db0060a955d12e1,0.25,Non-social,0.020833333,0.24,23,2.666666667,25,26,24,21,1,1
5ee150a384b8a1164fef6273,0.57,Non-social,0.025909091,0.44,30,5.25,17,18,10,23,1,1
5efc9ea8f8e7950584b12e87,0.6,Non-social,0.031578947,0.38,19,5.75,11,12,3,9,1,1
5f07b62e0e3ac43ea9d490c6,0.87,Non-social,0.037826087,0.46,29,2,27,26,24,24,0,1
5f0bcb67acb8844f8a226f2b,0.96,Non-social,0.03,0.653061224,34,4.166666667,23,24,15,12,0,0
5f29109240b4f4000bfd5a06,0.9,Non-social,0.034615385,0.52,23,4,14,14,14,14,0,0
5f2f566ddaea2a3417b75920,0.61,Non-social,0.022592593,0.54,32,5.25,5,27,25,12,0,0
5f3964ca4539e00bd5ce47fb,0.73,Non-social,0.028076923,0.52,28,5.333333333,18,20,21,12,1,0
5f44c445cfb0a801244f652f,0.89,Non-social,0.032962963,0.54,11,6.583333333,23,17,12,22,1,0
5f4c4b277200c9868db9d43f,1.18,Non-social,0.031052632,0.76,25,4.833333333,18,23,12,15,0,0
5f4c500d2a325c74a03597c4,0.82,Non-social,0.031538462,0.52,27,4.333333333,14,18,18,17,1,0
5f4d3cb5fdda0b2c403fb801,1.1,Non-social,0.034375,0.64,21,4.083333333,22,20,19,17,1,0
5f504fd2cc049d1cbf29c40d,1.01,Non-social,0.038846154,0.52,13,7,28,28,0,28,0,0
5f62bff03a4958215b85d8bf,0.82,Non-social,0.029285714,0.56,14,4.083333333,19,22,9,22,0,0
5f793609f8089e53266336f5,0.21,Non-social,0.03,0.14,19,6.5,18,20,13,25,1,1
5f888a84d0200d03067e17ed,0.34,Non-social,0.037777778,0.18,15,7,24,28,9,28,0,1
