prolific_id,avg_spent_social,avg_spent_nonsocial,prop_social,AQ,MSPSS,
60c357a0a275dce4c49ddefc,0.035,0.031818,0.56,13,6.416666667,
60c5b99d82cd6a9ad6e24f75,0.033333,0.027647,0.306,19,5.75,
60d86d6c0f4b31dab174a376,0.02875,0.025385,0.48,27,4.583333333,
60dbf15243bf8d31a96ed803,0.039286,0.038636,0.56,16,6.333333333,
60dca5d351d99ef73b2f8994,0.032,0.0295,0.6,20,4.916666667,
60dd5577b29a08bcb068a5d8,0.024815,0.022174,0.54,21,5.583333333,
60ddb1b050d121b8fbc0349a,0.034242,0.029412,0.66,18,5.583333333,
60ddcbb80c73eaf8ceca130e,0.034091,0.029259,0.449,22,6,
60e024be16fcfabbaac7d3ae,0.033077,0.034545,0.78,21,4.25,
60e040c54dc298116f43aae7,0.038636,0.030714,0.44,13,6.916666667,
60e41b5208ffba4a93ddbab3,0.026,0.0245,0.6,19,5.583333333,
60e4bcdf85f979aaddffa104,0.040667,0.031714,0.3,27,5.666666667,
60e5194cff6d453e2b606c55,0.030667,0.031,0.6,22,4.083333333,
60e637111a022da8d1963a65,0.0412,0.036,0.5,27,5.333333333,
60e96125cf260de73e1b535c,0.031739,0.03,0.46,26,6.583333333,
60ea0984f30f7e0a9b839e3b,0.028929,0.027273,0.56,16,5,
60ec5e30aa066198fa55ec21,0.040357,0.037273,0.56,17,5,
60edd81b455433dae20025fd,0.034444,0.032174,0.54,26,3.333333333,
60f42d83362792b0bc8d3d47,0.0155,0.02,0.4,26,4.666666667,
wtp1,0.03,0.028,0.791666667,14,6.25,
wtp2,0.025,0.026522,0.530612245,11,5.9166,
wtp3,0.017,0.02037,0.448979592,26,6.1667,
wtp4,0.027,0.023333,0.693877551,23,5.666,
wtp5,0.03,0.025,0.836734694,21,7,
wtp6,0.031,0.033333,0.816326531,20,6.75,
wtp7,0.032,0.030625,0.346938776,27,3.75,
wtp8,0.025,0.0225,0.591836735,17,4.916,
wtp9,0.025,0.021739,0.510638298,23,2.833,
wtp10,0.026,0.02,0.680851064,15,5.833,
wtp11,0.025,0.01625,0.673469388,18,6.5,
wtp12,0.026,0.019091,0.760869565,19,6.083,
