,subid,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT
43,5ee1bc2e2be5f61f0eaf1713,44,0.05,0.03,1,0.05,1.4149999619999998,19,5.333333333,65,16,23,12,14
44,5ee1bc2e2be5f61f0eaf1713,45,0.03,0.03,1,0.03,1.7899999619999998,19,5.333333333,65,16,23,12,14
45,5ee1bc2e2be5f61f0eaf1713,46,0.04,0.03,0,0.03,1.758000135,19,5.333333333,65,16,23,12,14
46,5ee1bc2e2be5f61f0eaf1713,47,0.01,0.05,0,0.05,1.375,19,5.333333333,65,16,23,12,14
47,5ee1bc2e2be5f61f0eaf1713,48,0.01,0.04,0,0.04,1.837999821,19,5.333333333,65,16,23,12,14
48,5ee1bc2e2be5f61f0eaf1713,49,0.05,0.01,0,0.01,1.086999893,19,5.333333333,65,16,23,12,14
49,5ee1bc2e2be5f61f0eaf1713,50,0.02,0.05,1,0.02,1.232000113,19,5.333333333,65,16,23,12,14
0,5f4ced34dbc54406d1684da0,1,0.03,0.01,0,0.01,5.4280800000000005,11,6.333333333,76,17,28,9,22
1,5f4ced34dbc54406d1684da0,2,0.04,0.03,0,0.03,3.1566400000000003,11,6.333333333,76,17,28,9,22
2,5f4ced34dbc54406d1684da0,3,0.01,0.02,1,0.01,2.58852,11,6.333333333,76,17,28,9,22
3,5f4ced34dbc54406d1684da0,4,0.05,0.03,1,0.05,2.315495,11,6.333333333,76,17,28,9,22
4,5f4ced34dbc54406d1684da0,5,0.02,0.02,1,0.02,1.6838650000000002,11,6.333333333,76,17,28,9,22
5,5f4ced34dbc54406d1684da0,6,0.05,0.02,0,0.02,2.10371,11,6.333333333,76,17,28,9,22
6,5f4ced34dbc54406d1684da0,7,0.04,0.03,1,0.04,3.911975,11,6.333333333,76,17,28,9,22
7,5f4ced34dbc54406d1684da0,8,0.04,0.01,1,0.04,1.702445,11,6.333333333,76,17,28,9,22
8,5f4ced34dbc54406d1684da0,9,0.04,0.01,1,0.04,3.27312,11,6.333333333,76,17,28,9,22
9,5f4ced34dbc54406d1684da0,10,0.02,0.03,1,0.02,2.203005,11,6.333333333,76,17,28,9,22
10,5f4ced34dbc54406d1684da0,11,0.03,0.02,1,0.03,1.984755,11,6.333333333,76,17,28,9,22
11,5f4ced34dbc54406d1684da0,12,0.05,0.01,1,0.05,1.522975,11,6.333333333,76,17,28,9,22
12,5f4ced34dbc54406d1684da0,13,0.04,0.03,0,0.03,1.51193,11,6.333333333,76,17,28,9,22
13,5f4ced34dbc54406d1684da0,14,0.01,0.03,1,0.01,2.132425,11,6.333333333,76,17,28,9,22
14,5f4ced34dbc54406d1684da0,15,0.05,0.01,1,0.05,6.00815,11,6.333333333,76,17,28,9,22
15,5f4ced34dbc54406d1684da0,16,0.05,0.01,1,0.05,1.931385,11,6.333333333,76,17,28,9,22
16,5f4ced34dbc54406d1684da0,17,0.05,0.02,1,0.05,1.636775,11,6.333333333,76,17,28,9,22
17,5f4ced34dbc54406d1684da0,18,0.03,0.05,1,0.03,2.63131,11,6.333333333,76,17,28,9,22
18,5f4ced34dbc54406d1684da0,19,0.03,0.02,1,0.03,3.389985,11,6.333333333,76,17,28,9,22
19,5f4ced34dbc54406d1684da0,20,0.02,0.03,1,0.02,1.857665,11,6.333333333,76,17,28,9,22
20,5f4ced34dbc54406d1684da0,21,0.03,0.03,1,0.03,1.42348,11,6.333333333,76,17,28,9,22
21,5f4ced34dbc54406d1684da0,22,0.01,0.01,1,0.01,2.6146700000000003,11,6.333333333,76,17,28,9,22
22,5f4ced34dbc54406d1684da0,23,0.01,0.05,0,0.05,3.2925949999999995,11,6.333333333,76,17,28,9,22
23,5f4ced34dbc54406d1684da0,24,0.03,0.01,1,0.03,2.13933,11,6.333333333,76,17,28,9,22
24,5f4ced34dbc54406d1684da0,25,0.05,0.03,1,0.05,1.142165,11,6.333333333,76,17,28,9,22
25,5f4ced34dbc54406d1684da0,26,0.02,0.05,1,0.02,2.05088,11,6.333333333,76,17,28,9,22
26,5f4ced34dbc54406d1684da0,27,0.05,0.01,1,0.05,1.110745,11,6.333333333,76,17,28,9,22
27,5f4ced34dbc54406d1684da0,28,0.05,0.04,1,0.05,1.463865,11,6.333333333,76,17,28,9,22
28,5f4ced34dbc54406d1684da0,29,0.01,0.03,1,0.01,2.45247,11,6.333333333,76,17,28,9,22
29,5f4ced34dbc54406d1684da0,30,0.02,0.05,1,0.02,1.33319,11,6.333333333,76,17,28,9,22
30,5f4ced34dbc54406d1684da0,31,0.05,0.02,1,0.05,1.533825,11,6.333333333,76,17,28,9,22
31,5f4ced34dbc54406d1684da0,32,0.01,0.05,1,0.01,1.04315,11,6.333333333,76,17,28,9,22
32,5f4ced34dbc54406d1684da0,33,0.04,0.04,1,0.04,1.385805,11,6.333333333,76,17,28,9,22
33,5f4ced34dbc54406d1684da0,34,0.03,0.03,1,0.03,1.404025,11,6.333333333,76,17,28,9,22
34,5f4ced34dbc54406d1684da0,35,0.04,0.01,1,0.04,2.335775,11,6.333333333,76,17,28,9,22
35,5f4ced34dbc54406d1684da0,36,0.01,0.04,0,0.04,0.8301149999999999,11,6.333333333,76,17,28,9,22
36,5f4ced34dbc54406d1684da0,37,0.02,0.04,0,0.04,1.278115,11,6.333333333,76,17,28,9,22
37,5f4ced34dbc54406d1684da0,38,0.01,0.04,1,0.01,2.79414,11,6.333333333,76,17,28,9,22
38,5f4ced34dbc54406d1684da0,39,0.01,0.05,1,0.01,1.2910549999999998,11,6.333333333,76,17,28,9,22
39,5f4ced34dbc54406d1684da0,40,0.01,0.02,1,0.01,1.497195,11,6.333333333,76,17,28,9,22
40,5f4ced34dbc54406d1684da0,41,0.02,0.02,1,0.02,1.10293,11,6.333333333,76,17,28,9,22
41,5f4ced34dbc54406d1684da0,42,0.02,0.04,1,0.02,1.584845,11,6.333333333,76,17,28,9,22
42,5f4ced34dbc54406d1684da0,43,0.01,0.04,1,0.01,2.91863,11,6.333333333,76,17,28,9,22
43,5f4ced34dbc54406d1684da0,44,0.02,0.05,1,0.02,1.458115,11,6.333333333,76,17,28,9,22
44,5f4ced34dbc54406d1684da0,45,0.01,0.02,1,0.01,2.98979,11,6.333333333,76,17,28,9,22
45,5f4ced34dbc54406d1684da0,46,0.05,0.03,1,0.05,1.04294,11,6.333333333,76,17,28,9,22
46,5f4ced34dbc54406d1684da0,47,0.05,0.01,1,0.05,0.866575,11,6.333333333,76,17,28,9,22
47,5f4ced34dbc54406d1684da0,48,0.04,0.02,1,0.04,0.990955,11,6.333333333,76,17,28,9,22
48,5f4ced34dbc54406d1684da0,49,0.03,0.05,0,0.05,1.20196,11,6.333333333,76,17,28,9,22
49,5f4ced34dbc54406d1684da0,50,0.02,0.01,1,0.02,1.7600900000000002,11,6.333333333,76,17,28,9,22
0,5f3ac1732efa0a74f975b1a8,1,0.05,0.02,0,0.02,1.502000093,4,6.0,36,1,9,0,26
1,5f3ac1732efa0a74f975b1a8,2,0.02,0.04,1,0.02,1.02699995,4,6.0,36,1,9,0,26
2,5f3ac1732efa0a74f975b1a8,3,0.01,0.04,1,0.01,1.010999918,4,6.0,36,1,9,0,26
3,5f3ac1732efa0a74f975b1a8,4,0.01,0.04,1,0.01,1.460999966,4,6.0,36,1,9,0,26
4,5f3ac1732efa0a74f975b1a8,5,0.01,0.02,1,0.01,0.8770000929999999,4,6.0,36,1,9,0,26
5,5f3ac1732efa0a74f975b1a8,6,0.03,0.03,0,0.03,4.136999846,4,6.0,36,1,9,0,26
6,5f3ac1732efa0a74f975b1a8,7,0.04,0.01,0,0.01,1.260999918,4,6.0,36,1,9,0,26
7,5f3ac1732efa0a74f975b1a8,8,0.05,0.01,0,0.01,1.178000212,4,6.0,36,1,9,0,26
8,5f3ac1732efa0a74f975b1a8,9,0.03,0.01,0,0.01,1.427999973,4,6.0,36,1,9,0,26
9,5f3ac1732efa0a74f975b1a8,10,0.01,0.03,1,0.01,1.694000006,4,6.0,36,1,9,0,26
10,5f3ac1732efa0a74f975b1a8,11,0.05,0.03,0,0.03,2.060000181,4,6.0,36,1,9,0,26
11,5f3ac1732efa0a74f975b1a8,12,0.02,0.05,1,0.02,2.809999943,4,6.0,36,1,9,0,26
12,5f3ac1732efa0a74f975b1a8,13,0.01,0.05,1,0.01,1.54399991,4,6.0,36,1,9,0,26
13,5f3ac1732efa0a74f975b1a8,14,0.03,0.02,0,0.02,3.924000025,4,6.0,36,1,9,0,26
14,5f3ac1732efa0a74f975b1a8,15,0.02,0.02,1,0.02,3.559000015,4,6.0,36,1,9,0,26
15,5f3ac1732efa0a74f975b1a8,16,0.05,0.03,0,0.03,3.89199996,4,6.0,36,1,9,0,26
16,5f3ac1732efa0a74f975b1a8,17,0.03,0.02,0,0.02,3.607999802,4,6.0,36,1,9,0,26
17,5f3ac1732efa0a74f975b1a8,18,0.01,0.01,1,0.01,4.638999939,4,6.0,36,1,9,0,26
18,5f3ac1732efa0a74f975b1a8,19,0.05,0.01,1,0.05,4.340000153,4,6.0,36,1,9,0,26
19,5f3ac1732efa0a74f975b1a8,20,0.02,0.01,1,0.02,3.075999975,4,6.0,36,1,9,0,26
20,5f3ac1732efa0a74f975b1a8,21,0.05,0.01,1,0.05,4.60800004,4,6.0,36,1,9,0,26
21,5f3ac1732efa0a74f975b1a8,22,0.02,0.05,1,0.02,3.006999969,4,6.0,36,1,9,0,26
22,5f3ac1732efa0a74f975b1a8,23,0.04,0.01,0,0.01,4.388999939,4,6.0,36,1,9,0,26
23,5f3ac1732efa0a74f975b1a8,24,0.04,0.03,1,0.04,3.276000023,4,6.0,36,1,9,0,26
24,5f3ac1732efa0a74f975b1a8,25,0.04,0.03,1,0.04,6.055999994,4,6.0,36,1,9,0,26
25,5f3ac1732efa0a74f975b1a8,26,0.05,0.03,1,0.05,6.105999947000001,4,6.0,36,1,9,0,26
26,5f3ac1732efa0a74f975b1a8,27,0.03,0.01,0,0.01,3.157999992,4,6.0,36,1,9,0,26
