participant,sum_spent,S_NS,avg_spent,prop,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,moresocial,prop_moresocial
60ddcbb80c73eaf8ceca130e,0.75,Social,0.034090909,0.448979592,22,6,70,14,24,12,20,1,0
60e024be16fcfabbaac7d3ae,1.31,Social,0.03275,0.8,21,4.25,59,16,14,15,14,0,1
60e040c54dc298116f43aae7,0.85,Social,0.038636364,0.44,13,6.916666667,71,16,24,6,25,1,0
60e41b5208ffba4a93ddbab3,0.78,Social,0.026,0.6,19,5.583333333,68,15,19,18,16,1,1
60e4bcdf85f979aaddffa104,0.61,Social,0.040666667,0.3,27,5.666666667,77,22,17,12,26,1,0
60e5194cff6d453e2b606c55,0.94,Social,0.030322581,0.62,22,4.083333333,77,22,24,9,22,0,1
60e637111a022da8d1963a65,1.03,Social,0.0412,0.5,27,5.333333333,64,15,17,21,11,1,0
60e96125cf260de73e1b535c,0.73,Social,0.03173913,0.46,26,6.583333333,82,19,24,19,20,1,0
60ea0984f30f7e0a9b839e3b,0.81,Social,0.028928571,0.56,16,5,63,18,20,7,18,1,1
60ec5e30aa066198fa55ec21,1.13,Social,0.040357143,0.56,17,5,57,16,18,7,16,1,1
60edd81b455433dae20025fd,0.93,Social,0.034444444,0.54,26,3.333333333,54,16,14,11,13,1,1
60f42d83362792b0bc8d3d47,0.33,Social,0.015714286,0.42,26,4.666666667,67,11,22,16,18,0,0
wtp01,1.15,Social,0.030263158,0.791666667,14,6.25,59,5,24,7,23,1,1
wtp02,0.66,Social,0.025384615,0.530612245,11,5.9166,64,15,15,14,20,0,1
wtp03,0.36,Social,0.016363636,0.448979592,26,6.1667,72,22,18,13,19,0,0
wtp04,0.91,Social,0.026764706,0.693877551,23,5.666,71,16,22,19,14,1,1
wtp05,1.23,Social,0.03,0.836734694,21,7,93,27,27,13,23,1,1
wtp06,1.27,Social,0.03175,0.816326531,20,6.75,92,24,28,12,28,0,1
wtp07,0.55,Social,0.032352941,0.346938776,27,3.75,59,16,17,12,14,1,0
wtp08,0.73,Social,0.025172414,0.591836735,17,4.916,46,6,15,9,16,1,1
wtp09,0.6,Social,0.025,0.510638298,23,2.833,57,14,12,13,18,1,1
wtp10,0.86,Social,0.026875,0.680851064,15,5.833,80,18,25,20,17,1,1
wtp11,0.85,Social,0.025757576,0.673469388,18,6.5,76,24,24,16,12,1,1
wtp12,0.92,Social,0.026285714,0.760869565,19,6.083,76,24,24,16,12,1,1
wtp13,0.72,Social,0.032727273,0.448979592,21,5.333,70,16,22,11,21,1,0
wtp14,1.22,Social,0.027727273,0.88,18,6.916,72,16,25,14,17,0,1
wtp15,0.72,Social,0.027692308,0.530612245,23,5.083,74,20,24,14,16,1,1
wtp16,0.47,Social,0.026111111,0.36,27,6.333,90,27,28,12,23,1,0
wtp17,0.53,Social,0.0212,0.520833333,22,4.75,64,10,19,11,24,0,1
wtp18,0.44,Social,0.018333333,0.489795918,16,7,71,18,25,6,22,0,0
wtp19,0.87,Social,0.026363636,0.717391304,20,5,49,9,17,5,18,1,1
wtp20,0.87,Social,0.029,0.638297872,21,5,84,19,27,10,28,1,1
wtp21,0.31,Social,0.03875,0.173913043,22,4.917,84,26,21,20,17,1,0
wtp22,0.56,Social,0.020740741,0.54,22,5.083,80,20,19,19,22,0,1
wtp23,0.97,Social,0.032333333,0.638297872,24,5.083,98,29,22,15,32,1,1
wtp24,0.93,Social,0.031,0.697674419,14,5,86,19,27,19,21,1,1
wtp25,0.82,Social,0.028275862,0.617021277,26,3.583,83,21,23,16,23,1,1
wtp26,0.6,Social,0.033333333,0.473684211,25,5.917,83,28,22,13,20,1,0
wtp27,0.98,Social,0.031612903,0.688888889,18,4.5,38,6,16,5,7,1,1
wtp28,0.49,Social,0.0245,0.408163265,27,5.167,85,25,25,17,18,1,0
wtp29,0.92,Social,0.032857143,0.622222222,19,6,54,11,16,7,20,1,1
wtp30,0.92,Social,0.02875,0.680851064,12,5.417,67,20,18,10,19,0,1
wtp31,0.43,Social,0.030714286,0.291666667,17,1.917,25,4,5,2,14,1,0
wtp32,0.73,Social,0.034761905,0.466666667,21,5.417,39,10,11,7,11,1,0
549ea92efdf99b4ffa5fa208,0.91,Non-social,0.030333333,0.6,26,4,78,24,26,15,13,1,0
55a43687fdf99b7da1908e0f,0.42,Non-social,0.01826087,0.46,16,7,74,18,24,9,23,1,1
55ea70c37480920010aa9982,1.17,Non-social,0.02925,0.8,17,5.75,45,11,6,5,23,1,0
566c9284d408ea000519c6d7,0.41,Non-social,0.017826087,0.46,5,7,76,20,28,4,24,1,1
56f745653bd969000d170c15,0.81,Non-social,0.028928571,0.571428571,32,4.916666667,70,20,15,15,20,1,0
57e972d7c3e5930001447bb1,0.48,Non-social,0.028235294,0.34,23,4.25,80,21,22,22,15,1,1
58ab75c4ef58a9000119d16c,0.68,Non-social,0.022666667,0.612244898,20,6,81,19,22,22,18,1,0
5c510d1310223b00012fa23e,0.3,Non-social,0.025,0.24,22,1.25,60,18,20,12,10,1,1
5cb33d40f173240019513957,0.46,Non-social,0.02,0.46,20,3,75,22,19,18,16,1,1
5cc166b25899270017dd60e2,0.78,Non-social,0.028888889,0.54,19,2.5,72,22,23,7,20,1,0
5cfecc1e96681500168a1799,0.99,Non-social,0.036666667,0.54,23,1.333333333,77,20,20,19,18,1,0
5d305152b2cfe00019231a2a,0.62,Non-social,0.025833333,0.48,22,2.416666667,61,14,20,10,17,1,1
5da23c68cf775d001724d361,0.52,Non-social,0.019259259,0.54,21,5.666666667,74,22,21,16,15,0,0
5dd48444dd9a7447d224cc71,0.11,Non-social,0.01375,0.16,10,7,73,13,28,14,18,1,1
5e27868c5cbbcc0b3599574b,0.65,Non-social,0.02826087,0.46,19,5,59,16,15,13,15,1,1
5e31740eb3f28315c5e0d347,0.75,Non-social,0.028846154,0.530612245,17,5,59,16,13,14,16,1,0
5e3760815bfa436fd256b2e9,0.51,Non-social,0.02125,0.48,27,4.416666667,61,17,20,13,11,1,1
5e5e9f949ec7440200735db7,0.57,Non-social,0.024782609,0.46,12,5.333333333,82,18,24,19,21,1,1
5e76742575ad9c0506e721bb,0.84,Non-social,0.028965517,0.644444444,25,6.083333333,64,16,21,16,11,1,0
5ea3310bf9c4f828f0c909c5,0.29,Non-social,0.029,0.204081633,26,5.666666667,92,19,28,19,26,1,1
5ee1bc2e2be5f61f0eaf1713,0.7,Non-social,0.028,0.5,19,5.333333333,65,16,23,12,14,0,0
5eeaff28cf5da71d691ef212,1.21,Non-social,0.028809524,0.84,31,1.5,90,20,26,26,18,0,0
5ef76ff7d195c248bfe2511,0.37,Non-social,0.030833333,0.24,26,3.25,57,20,5,22,10,1,1
5f12b3a2791d172281e7d6a9,0.54,Non-social,0.024545455,0.44,16,5.416666667,77,21,27,13,16,1,1
5f18b5343b9a080d1e17db57,1.04,Non-social,0.026666667,0.78,33,4.416666667,75,27,20,6,22,1,0
5f248a2f46a10507b20d9f17,0.75,Non-social,0.025862069,0.58,30,4.083333333,54,14,12,14,14,1,0
5f2dc46d6fa1250ee8a1a15d,0.69,Non-social,0.036315789,0.387755102,11,6.5,60,19,16,8,17,0,1
5f3ac1732efa0a74f975b1a8,0.42,Non-social,0.021,0.4,4,6,36,1,9,0,26,1,1
5f4cc1ded01b151cbb03c0f8,0.44,Non-social,0.025882353,0.34,9,6.416666667,77,17,24,13,23,1,1
5f4ced34dbc54406d1684da0,0.27,Non-social,0.03375,0.16,11,6.333333333,76,17,28,9,22,0,1
5f4ee0e82f0d6c12d692c29b,0.49,Non-social,0.028823529,0.34,21,4.583333333,71,17,23,19,12,0,1
5f50dc440305bb077d82eca4,0.74,Non-social,0.035238095,0.466666667,21,5.916666667,61,17,19,11,14,1,1
5f53216409e6d06275ef0545,0.65,Non-social,0.038235294,0.354166667,20,6.5,72,18,20,16,18,0,1
5f5f09ebf7e0497dcdb37dee,0.87,Non-social,0.037826087,0.46,22,5.666666667,63,18,17,14,14,1,1
5f647f4d6443f82231b6bc78,0.57,Non-social,0.019655172,0.58,19,5.583333333,72,23,17,13,19,0,0
5f68d7190611d306d40d4b58,0.69,Non-social,0.03,0.469387755,15,7,67,8,28,3,28,1,1
5f6ea39029ca174064215ac2,0.55,Non-social,0.026190476,0.42,25,5.416666667,81,22,20,20,19,1,1
5f7e4fbc36d39211c80599fe,0.85,Non-social,0.028333333,0.612244898,29,5.5,68,15,18,16,19,1,0
5f8dd51f6d2378145bf99cdc,0.9,Non-social,0.03,0.638297872,17,5.166666667,51,17,19,3,12,1,0
5fbd2fffbbfb2d070580d353,0.88,Non-social,0.028387097,0.62,21,6.666666667,72,27,21,11,13,1,0
5fcd31e19fd435c2162f2869,0.31,Non-social,0.020666667,0.3,7,6.333333333,85,28,26,9,22,1,1
5ff0a56b116bbf440e520992,0.69,Non-social,0.031363636,0.458333333,15,7,77,16,27,7,27,1,1
5ff37f2588f05799fa9a9873,0.49,Non-social,0.0245,0.416666667,12,6.583333333,87,21,26,20,20,1,1
600ecc3692aa597c9a274833,0.58,Non-social,0.022307692,0.52,24,5.666666667,78,22,25,12,19,1,0
6016f95c56f32e8df6e841af,0.53,Non-social,0.01962963,0.54,13,4.416666667,51,8,16,8,19,0,0
604557dd82b57569031a1da8,0.46,Non-social,0.027058824,0.34,14,5.583333333,62,16,20,11,15,1,1
604a7ee304a949c38ab69799,0.67,Non-social,0.031904762,0.42,17,3.75,59,10,13,13,23,0,1
60a647cf71f87619eeed97ea,0.84,Non-social,0.036521739,0.46,15,6.333333333,68,16,23,13,16,1,1
60b0334a2e48ac0856f33161,0.62,Non-social,0.02137931,0.58,18,5.75,87,22,25,20,20,0,0
60c357a0a275dce4c49ddefc,0.7,Non-social,0.031818182,0.44,13,6.416666667,90,22,27,13,28,1,1
60c5b99d82cd6a9ad6e24f75,0.92,Non-social,0.027878788,0.673469388,19,5.75,95,24,27,18,26,1,0
60cc618fcdb3956b8bd61133,0.74,Non-social,0.0296,0.5,15,6.25,74,17,24,13,20,1,0
60d86d6c0f4b31dab174a376,0.64,Non-social,0.0256,0.5,27,4.583333333,49,6,18,13,12,1,0
60dbf15243bf8d31a96ed803,0.85,Non-social,0.038636364,0.44,16,6.333333333,75,21,21,15,18,1,1
60dca5d351d99ef73b2f8994,0.57,Non-social,0.03,0.38,20,4.916666667,78,21,28,2,27,1,1
60dd5577b29a08bcb068a5d8,0.49,Non-social,0.022272727,0.44,21,5.583333333,65,15,19,12,19,1,1
60ddb1b050d121b8fbc0349a,0.48,Non-social,0.03,0.32,18,5.583333333,55,9,18,7,21,1,1
60ddcbb80c73eaf8ceca130e,0.79,Non-social,0.029259259,0.551020408,22,6,70,14,24,12,20,1,0
60e024be16fcfabbaac7d3ae,0.36,Non-social,0.036,0.2,21,4.25,59,16,14,15,14,0,1
60e040c54dc298116f43aae7,0.86,Non-social,0.030714286,0.56,13,6.916666667,71,16,24,6,25,1,0
60e41b5208ffba4a93ddbab3,0.49,Non-social,0.0245,0.4,19,5.583333333,68,15,19,18,16,1,1
60e4bcdf85f979aaddffa104,1.11,Non-social,0.031714286,0.7,27,5.666666667,77,22,17,12,26,1,0
60e5194cff6d453e2b606c55,0.6,Non-social,0.031578947,0.38,22,4.083333333,77,22,24,9,22,0,1
60e637111a022da8d1963a65,0.9,Non-social,0.036,0.5,27,5.333333333,64,15,17,21,11,1,0
60e96125cf260de73e1b535c,0.81,Non-social,0.03,0.54,26,6.583333333,82,19,24,19,20,1,0
60ea0984f30f7e0a9b839e3b,0.6,Non-social,0.027272727,0.44,16,5,63,18,20,7,18,1,1
60ec5e30aa066198fa55ec21,0.82,Non-social,0.037272727,0.44,17,5,57,16,18,7,16,1,1
