participant,avg_spent_social,avg_spent_nonsocial,total_spent_social,total_spent_nonsocial,prop_social,prop_nonsocial,moresocial,prop_moresocial,AQ,MSPSS
5beaed3f0af61d0001968d9a,0.033846154,0.03,0.44,1.08,0.265306122,0.734693878,1,0,28,3.916666667
5e70d4869ffb1404cb1f5070,0.024444444,0.022173913,0.66,0.51,0.54,0.46,1,1,19,6
5efc9ea8f8e7950584b12e87,0.032258065,0.031578947,1,0.6,0.62,0.38,1,1,32,5.75
5f3964ca4539e00bd5ce47fb,0.02875,0.028076923,0.69,0.73,0.48,0.52,1,0,18,5.333333333
5f793609f8089e53266336f5,0.030232558,0.03,1.3,0.21,0.86,0.14,1,1,10,6.5
60fd9a010279e0f7e338571a,0.031153846,0.026666667,0.81,0.64,0.52,0.48,1,1,13,5.916666667
60fdae513bfebe2fe0122138,0.030434783,0.025769231,0.7,0.67,0.469387755,0.530612245,1,0,20,5.25
60fe2fb42ec6d443757a92fc,0.033571429,0.032727273,0.94,0.72,0.56,0.44,1,1,15,7
60ff2035293107014b9770e8,0.032142857,0.029166667,0.45,1.05,0.28,0.72,1,0,19,5.333333333
610040d9d3e1fbd63a3f41e5,0.0292,0.028,0.73,0.7,0.5,0.5,1,0,25,6.166666667
6100b292b7fc7f30ec9132dc,0.03030303,0.027058824,1,0.46,0.66,0.34,1,1,24,6.166666667
6101667971d68405d105698a,0.025454545,0.025357143,0.56,0.71,0.44,0.56,1,0,23,4.416666667
61023e0830e893bec6bd8f3c,0.029032258,0.028947368,0.9,0.55,0.62,0.38,1,1,16,6.916666667
6103fa5faa24894dcd2cda34,0.04,0.03,0.16,1.35,0.081632653,0.918367347,1,0,13,4.75
610421096c1af729ade5aac1,0.026666667,0.021176471,0.88,0.36,0.66,0.34,1,1,16,5.416666667
610808ab1708833b02eb8a57,0.035294118,0.033939394,0.6,1.12,0.34,0.66,1,0,21,6.25
61088cda72a1106216fa4858,0.024814815,0.022608696,0.67,0.52,0.54,0.46,1,1,20,6.583333333
610934fd924a7b98497b2108,0.0353125,0.033333333,1.13,0.6,0.64,0.36,1,1,23,6.166666667
610999f68d373b548447abfe,0.032592593,0.029130435,0.88,0.67,0.54,0.46,1,1,10,5.416666667
6109c9dd829e3b0e3a87b8e8,0.031904762,0.030344828,0.67,0.88,0.42,0.58,1,0,29,6.916666667
610a06e4613ff666139fd6d9,0.028285714,0.026,0.99,0.39,0.7,0.3,1,1,21,4.166666667
610c59ee34cc312d7ca55e45,0.031081081,0.03,1.15,0.39,0.74,0.26,1,1,44,6.166666667
610d3d786149dbd00d635e26,0.037777778,0.035217391,1.02,0.81,0.54,0.46,1,1,22,5.5
610dd86540919edb725d1f3f,0.027096774,0.025263158,0.84,0.48,0.62,0.38,1,1,15,4.583333333
61110e69c5c85f3be8c8ebb4,0.023181818,0.022142857,0.51,0.62,0.44,0.56,1,0,24,7
61111442bb1b255927718949,0.024444444,0.020869565,0.66,0.48,0.54,0.46,1,1,21,5.166666667
61113effc33961d5c253618a,0.0265625,0.018888889,0.85,0.34,0.64,0.36,1,1,32,5.666666667
6111646d1922d97d81f4f9c1,0.034375,0.033333333,1.1,0.6,0.64,0.36,1,1,16,7
611267d44fb8536ce68fe464,0.030434783,0.028888889,0.7,0.78,0.46,0.54,1,0,20,7
