participant,avg_spent_social,avg_spent_nonsocial,total_spent_social,total_spent_nonsocial,prop_social,prop_nonsocial,moresocial,prop_moresocial,AQ,MSPSS
549ea92efdf99b4ffa5fa208,0.032,0.030333333,0.64,0.91,0.4,0.6,1,0,26,4
55a43687fdf99b7da1908e0f,0.018888889,0.01826087,0.51,0.42,0.54,0.46,1,1,16,7
55ea70c37480920010aa9982,0.031,0.02925,0.31,1.17,0.2,0.8,1,0,17,5.75
566c9284d408ea000519c6d7,0.018888889,0.017826087,0.51,0.41,0.54,0.46,1,1,5,7
56f745653bd969000d170c15,0.033333333,0.028928571,0.7,0.81,0.428571429,0.571428571,1,0,32,4.916666667
57e972d7c3e5930001447bb1,0.03,0.028235294,0.99,0.48,0.66,0.34,1,1,23,4.25
58ab75c4ef58a9000119d16c,0.023684211,0.022666667,0.45,0.68,0.387755102,0.612244898,1,0,20,6
5c510d1310223b00012fa23e,0.028684211,0.025,1.09,0.3,0.76,0.24,1,1,22,1.25
5cb33d40f173240019513957,0.022592593,0.02,0.61,0.46,0.54,0.46,1,1,20,3
5cc166b25899270017dd60e2,0.032173913,0.028888889,0.74,0.78,0.46,0.54,1,0,19,2.5
5cfecc1e96681500168a1799,0.038695652,0.036666667,0.89,0.99,0.46,0.54,1,0,23,1.333333333
5d305152b2cfe00019231a2a,0.029230769,0.025833333,0.76,0.62,0.52,0.48,1,1,22,2.416666667
5da23c68cf775d001724d361,0.016956522,0.019259259,0.39,0.52,0.46,0.54,0,0,21,5.666666667
5dd48444dd9a7447d224cc71,0.027142857,0.01375,1.14,0.11,0.84,0.16,1,1,10,7
5e27868c5cbbcc0b3599574b,0.028518519,0.02826087,0.77,0.65,0.54,0.46,1,1,19,5
5e31740eb3f28315c5e0d347,0.03173913,0.028846154,0.73,0.75,0.469387755,0.530612245,1,0,17,5
5e3760815bfa436fd256b2e9,0.023846154,0.02125,0.62,0.51,0.52,0.48,1,1,27,4.416666667
5e5e9f949ec7440200735db7,0.026666667,0.024782609,0.72,0.57,0.54,0.46,1,1,12,5.333333333
5e76742575ad9c0506e721bb,0.0325,0.028965517,0.52,0.84,0.355555556,0.644444444,1,0,25,6.083333333
5ea3310bf9c4f828f0c909c5,0.030769231,0.029,1.2,0.29,0.795918367,0.204081633,1,1,26,5.666666667
5ee1bc2e2be5f61f0eaf1713,0.0276,0.028,0.69,0.7,0.5,0.5,0,0,19,5.333333333
5eeaff28cf5da71d691ef212,0.0275,0.028809524,0.22,1.21,0.16,0.84,0,0,31,1.5
5ef76ff7d195c248bfe2511,0.032105263,0.030833333,1.22,0.37,0.76,0.24,1,1,26,3.25
5f12b3a2791d172281e7d6a9,0.028214286,0.024545455,0.79,0.54,0.56,0.44,1,1,16,5.416666667
5f18b5343b9a080d1e17db57,0.027272727,0.026666667,0.3,1.04,0.22,0.78,1,0,33,4.416666667
5f248a2f46a10507b20d9f17,0.032380952,0.025862069,0.68,0.75,0.42,0.58,1,0,30,4.083333333
5f2dc46d6fa1250ee8a1a15d,0.035333333,0.036315789,1.06,0.69,0.612244898,0.387755102,0,1,11,6.5
5f3ac1732efa0a74f975b1a8,0.022666667,0.021,0.68,0.42,0.6,0.4,1,1,4,6
5f4cc1ded01b151cbb03c0f8,0.026969697,0.025882353,0.89,0.44,0.66,0.34,1,1,9,6.416666667
5f4ced34dbc54406d1684da0,0.029761905,0.03375,1.25,0.27,0.84,0.16,0,1,11,6.333333333
5f4ee0e82f0d6c12d692c29b,0.027878788,0.028823529,0.92,0.49,0.66,0.34,0,1,21,4.583333333
5f50dc440305bb077d82eca4,0.040416667,0.035238095,0.97,0.74,0.533333333,0.466666667,1,1,21,5.916666667
5f53216409e6d06275ef0545,0.036451613,0.038235294,1.13,0.65,0.645833333,0.354166667,0,1,20,6.5
5f5f09ebf7e0497dcdb37dee,0.04,0.037826087,1.08,0.87,0.54,0.46,1,1,22,5.666666667
5f647f4d6443f82231b6bc78,0.01952381,0.019655172,0.41,0.57,0.42,0.58,0,0,19,5.583333333
5f68d7190611d306d40d4b58,0.034230769,0.03,0.89,0.69,0.530612245,0.469387755,1,1,15,7
5f6ea39029ca174064215ac2,0.028965517,0.026190476,0.84,0.55,0.58,0.42,1,1,25,5.416666667
5f7e4fbc36d39211c80599fe,0.035263158,0.028333333,0.67,0.85,0.387755102,0.612244898,1,0,29,5.5
5f8dd51f6d2378145bf99cdc,0.034117647,0.03,0.58,0.9,0.361702128,0.638297872,1,0,17,5.166666667
5fbd2fffbbfb2d070580d353,0.028421053,0.028387097,0.54,0.88,0.38,0.62,1,0,21,6.666666667
5fcd31e19fd435c2162f2869,0.026,0.020666667,0.91,0.31,0.7,0.3,1,1,7,6.333333333
5ff0a56b116bbf440e520992,0.037692308,0.031363636,0.98,0.69,0.541666667,0.458333333,1,1,15,7
5ff37f2588f05799fa9a9873,0.028928571,0.0245,0.81,0.49,0.583333333,0.416666667,1,1,12,6.583333333
600ecc3692aa597c9a274833,0.02375,0.022307692,0.57,0.58,0.48,0.52,1,0,24,5.666666667
6016f95c56f32e8df6e841af,0.016521739,0.01962963,0.38,0.53,0.46,0.54,0,0,13,4.416666667
604557dd82b57569031a1da8,0.029090909,0.027058824,0.96,0.46,0.66,0.34,1,1,14,5.583333333
604a7ee304a949c38ab69799,0.031724138,0.031904762,0.92,0.67,0.58,0.42,0,1,17,3.75
60a647cf71f87619eeed97ea,0.041111111,0.036521739,1.11,0.84,0.54,0.46,1,1,15,6.333333333
60b0334a2e48ac0856f33161,0.02,0.02137931,0.42,0.62,0.42,0.58,0,0,18,5.75
60c357a0a275dce4c49ddefc,0.035,0.031818182,0.98,0.7,0.56,0.44,1,1,13,6.416666667
60c5b99d82cd6a9ad6e24f75,0.0325,0.027878788,0.52,0.92,0.326530612,0.673469388,1,0,19,5.75
60cc618fcdb3956b8bd61133,0.0312,0.0296,0.78,0.74,0.5,0.5,1,0,15,6.25
60d86d6c0f4b31dab174a376,0.0284,0.0256,0.71,0.64,0.5,0.5,1,0,27,4.583333333
60dbf15243bf8d31a96ed803,0.039285714,0.038636364,1.1,0.85,0.56,0.44,1,1,16,6.333333333
60dca5d351d99ef73b2f8994,0.031612903,0.03,0.98,0.57,0.62,0.38,1,1,20,4.916666667
60dd5577b29a08bcb068a5d8,0.024642857,0.022272727,0.69,0.49,0.56,0.44,1,1,21,5.583333333
60ddb1b050d121b8fbc0349a,0.033823529,0.03,1.15,0.48,0.68,0.32,1,1,18,5.583333333
60ddcbb80c73eaf8ceca130e,0.034090909,0.029259259,0.75,0.79,0.448979592,0.551020408,1,0,22,6
60e024be16fcfabbaac7d3ae,0.03275,0.036,1.31,0.36,0.8,0.2,0,1,21,4.25
60e040c54dc298116f43aae7,0.038636364,0.030714286,0.85,0.86,0.44,0.56,1,0,13,6.916666667
60e41b5208ffba4a93ddbab3,0.026,0.0245,0.78,0.49,0.6,0.4,1,1,19,5.583333333
60e4bcdf85f979aaddffa104,0.040666667,0.031714286,0.61,1.11,0.3,0.7,1,0,27,5.666666667
60e5194cff6d453e2b606c55,0.030322581,0.031578947,0.94,0.6,0.62,0.38,0,1,22,4.083333333
60e637111a022da8d1963a65,0.0412,0.036,1.03,0.9,0.5,0.5,1,0,27,5.333333333
60e96125cf260de73e1b535c,0.03173913,0.03,0.73,0.81,0.46,0.54,1,0,26,6.583333333
60ea0984f30f7e0a9b839e3b,0.028928571,0.027272727,0.81,0.6,0.56,0.44,1,1,16,5
60ec5e30aa066198fa55ec21,0.040357143,0.037272727,1.13,0.82,0.56,0.44,1,1,17,5
60edd81b455433dae20025fd,0.034444444,0.032173913,0.93,0.74,0.54,0.46,1,1,26,3.333333333
60f42d83362792b0bc8d3d47,0.015714286,0.02,0.33,0.58,0.42,0.58,0,0,26,4.666666667
