participant,sum_spent,S_NS,avg_spent,prop,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,moresocial,prop_moresocial
5914b7b50a4b9d0001add64f,0.48,Social,0.020869565,0.46,24,3.333333333,39.0,10.0,9.0,9.0,11.0,0,0
5beaed3f0af61d0001968d9a,0.44,Social,0.033846154,0.265306122,30,3.916666667,73.0,20.0,18.0,14.0,21.0,1,0
5c523d16102de10001022098,1.11,Social,0.029210526,0.76,15,6.333333333,69.0,23.0,20.0,13.0,13.0,0,1
5dc368ce880a2927e264dbec,0.56,Social,0.029473684,0.38,26,4.416666667,73.0,19.0,23.0,16.0,15.0,0,0
5e70d4869ffb1404cb1f5070,0.66,Social,0.024444444,0.54,15,6.0,84.0,24.0,24.0,15.0,21.0,1,1
5efc9ea8f8e7950584b12e87,1.0,Social,0.032258065,0.62,19,5.75,35.0,11.0,12.0,3.0,9.0,1,1
5f2f566ddaea2a3417b75920,0.49,Social,0.021304348,0.46,32,5.25,69.0,5.0,27.0,25.0,12.0,0,0
5f3964ca4539e00bd5ce47fb,0.69,Social,0.02875,0.48,28,5.333333333,71.0,18.0,20.0,21.0,12.0,1,0
5f793609f8089e53266336f5,1.3,Social,0.030232558,0.86,19,6.5,76.0,18.0,20.0,13.0,25.0,1,1
5f8c70c9c8e71c0b49e49797,0.42,Social,0.028,0.3,22,5.75,53.0,11.0,16.0,13.0,13.0,0,0
5f94977cf830e82e361b9de1,0.48,Social,0.03,0.32,18,4.333333333,66.0,15.0,24.0,10.0,17.0,0,0
5f963718a844b719781e9e85,0.4,Social,0.022222222,0.36,30,4.416666667,59.0,14.0,23.0,8.0,14.0,0,0
60fc6bdffe3e6e8caf924670,0.49,Social,0.022272727,0.44,17,7.0,92.0,24.0,24.0,24.0,20.0,0,0
60fd7f782b0c5f0b6503302a,1.28,Social,0.03047619,0.84,21,3.166666667,62.0,5.0,23.0,15.0,19.0,0,1
60fd89617258b322c92fdd03,0.79,Social,0.030384615,0.52,27,5.916666667,77.0,24.0,25.0,16.0,12.0,1,1
60fd9a010279e0f7e338571a,0.81,Social,0.031153846,0.52,15,5.916666667,62.0,14.0,23.0,5.0,20.0,1,1
60fdae513bfebe2fe0122138,0.7,Social,0.030434783,0.469387755,24,5.25,94.0,24.0,24.0,18.0,28.0,1,0
60fdce10226d20ddc8990f04,0.47,Social,0.022380952,0.42,20,5.333333333,82.0,20.0,22.0,21.0,19.0,0,0
60fe2fb42ec6d443757a92fc,0.94,Social,0.033571429,0.56,27,7.0,78.0,18.0,26.0,12.0,22.0,1,1
60fed38a8adb46e44e0869a5,0.65,Social,0.024074074,0.54,21,5.0,82.0,27.0,26.0,13.0,16.0,0,1
60ff0c8a83c4bf36bf52df28,0.79,Social,0.0316,0.5,19,5.583333333,52.0,11.0,17.0,12.0,12.0,0,0
